company_name,company_ticker,entity_name,company_cik,2022,2021,2020
BRADY CORP,BRC,BRADY CORP (BRC),0000746598,https://www.sec.gov/Archives/edgar/data/746598/000074659822000067/brc-20220731.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659821000102/brc-20210731.htm,https://www.sec.gov/Archives/edgar/data/746598/000074659820000097/brc-20200731.htm
BRAEMAR HOTELS & RESORTS,BHR,"Braemar Hotels & Resorts Inc. (BHR, BHR-PD, BHR-PB)",0001574085,https://www.sec.gov/Archives/edgar/data/1574085/000157408522000032/bhr-20211231.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408521000029/bhr-20201231.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408520000010/bhr2019q410-k.htm
BRANDYWINE RLTY,BDN,BRANDYWINE REALTY TRUST (BDN),0000790816,https://www.sec.gov/Archives/edgar/data/1060386/000079081622000009/bdn-20211231.htm,https://www.sec.gov/Archives/edgar/data/1060386/000079081621000008/bdn-20201231.htm,https://www.sec.gov/Archives/edgar/data/1060386/000079081620000008/bdn10k123119.htm
BRC INC (A),BRCC,BRC Inc. (BRCC),0001891101,https://www.sec.gov/Archives/edgar/data/1891101/000110465922034159/brrc-20220202x10k.htm,,
BREAD FINANCIAL HOLDING INC,BFH,"BREAD FINANCIAL HOLDINGS, INC. (BFH)",0001101215,https://www.sec.gov/Archives/edgar/data/1101215/000110121522000038/ads-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1101215/000110121521000036/ads-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1101215/000110121520000049/ads-20191231x10k.htm
BRIDGEBIO PHARMA,BBIO,"BridgeBio Pharma, Inc. (BBIO)",0001743881,https://www.sec.gov/Archives/edgar/data/1743881/000095017022002030/bbio-20211231.htm,https://www.sec.gov/Archives/edgar/data/1743881/000156459021008969/bbio-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1743881/000156459020008260/bbio-10k_20191231.htm
BRIDGEWATER BANCSHARES,BWB,"Bridgewater Bancshares Inc (BWB, BWBBP)",0001341317,https://www.sec.gov/Archives/edgar/data/1341317/000155837022003010/bwb-20211231x10k.htm,https://www.sec.gov/Archives/edgar/data/1341317/000155837021002761/bwb-20201231x10k.htm,https://www.sec.gov/Archives/edgar/data/1341317/000155837020002468/bwb-20191231x10k.htm
BRIGHAM MINERALS,MNRL,"Brigham Minerals, LLC",0001904490,,,
BRIGHT HEALTH GROUP,BHG,Bright Health Group Inc. (BHG),0001671284,https://www.sec.gov/Archives/edgar/data/1671284/000167128422000018/bhg-20211231.htm,,
BRIGHT HORIZONS FAMILY SOLUTIONS,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. (BFAM),0001437578,https://www.sec.gov/Archives/edgar/data/1437578/000143757822000007/bfam-20211231.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757821000007/bfam-20201231.htm,https://www.sec.gov/Archives/edgar/data/1437578/000143757820000006/bfam-123119x10xk.htm
BRIGHTCOVE,BCOV,BRIGHTCOVE INC (BCOV),0001313275,https://www.sec.gov/Archives/edgar/data/1313275/000119312522046734/d211529d10k.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312521054722/d12964d10k.htm,https://www.sec.gov/Archives/edgar/data/1313275/000119312520050382/d768281d10k.htm
BRIGHTHOUSE FINANCIAL,BHF,"Brighthouse Financial, Inc. (BHF, BHFAP, BHFAO, BHFAN, BHFAM, BHFAL)",0001685040,https://www.sec.gov/Archives/edgar/data/1685040/000168504022000006/bhf-20211231.htm,https://www.sec.gov/Archives/edgar/data/1685040/000168504021000008/bhf-20201231.htm,https://www.sec.gov/Archives/edgar/data/1685040/000168504020000007/brighthouse-12312019x1.htm
BRIGHTSPHERE INVESTMENT GROUP INC,BSIG,BrightSphere Investment Group Inc. (BSIG),0001748824,https://www.sec.gov/Archives/edgar/data/1748824/000174882422000018/bsig-20211231.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882421000012/bsig-20201231.htm,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000008/bsig12311910-k.htm
BRIGHTSPIRE CAPITAL INC (A),BRSP,"BrightSpire Capital, Inc. (BRSP)",0001717547,https://www.sec.gov/Archives/edgar/data/1717547/000171754722000014/brsp-20211231.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754721000010/clnc-20201231.htm,https://www.sec.gov/Archives/edgar/data/1717547/000171754720000006/clnc1231201910-k.htm
BRIGHTVIEW HOLDINGS,BV,"BrightView Holdings, Inc. (BV)",0001734713,https://www.sec.gov/Archives/edgar/data/1734713/000095017022025340/bv-20220930.htm,https://www.sec.gov/Archives/edgar/data/1734713/000095017021004707/bv-20210930.htm,https://www.sec.gov/Archives/edgar/data/1734713/000156459020054411/bv-10k_20200930.htm
BRINKER INTERNATIONAL,EAT,"BRINKER INTERNATIONAL, INC (EAT)",0000703351,https://www.sec.gov/Archives/edgar/data/703351/000070335122000036/eat-20220629.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335121000031/eat-20210630.htm,https://www.sec.gov/Archives/edgar/data/703351/000070335120000059/eat202062410k.htm
